¹¤ÐòÃû,×Ê²ú±àÂë,Éè±¸ID,²Ù×÷Õß,°à´Î,µçÐ¾ÐÍºÅ´úÂë,Éú²úÅú´Î,Ê±¼ä,µçÐ¾ÌõÂë,µçÐ¾Î»ÖÃ,Ô¤º¸¹¦ÂÊ,Ô¤º¸ËÙ¶È,º¸ÏßÊýÁ¿,º¸Ïß³¤¶È,Àë½¹Á¿,º¸ºó½á¹û,Ñ¹Á¦Öµ,Ô¤º¸Ì¨½×Öµ1,Ô¤º¸Ì¨½×Öµ2,Ô¤º¸Ì¨½×Öµ3,Ô¤º¸Ì¨½×Öµ4,Ô¤º¸Ì¨½×Öµ5,Ô¤º¸Ì¨½×Öµ6,Ô¤º¸Ì¨½×Öµ7,Ô¤º¸Ì¨½×Öµ8,·´À¡´úÂë,·´À¡ÐÅÏ¢
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:00:16,001CB1U0000001ABA6515078,B,612.748,600.000,8.000,4.500,0.000,2.000,46.240,-0.091,-0.117,-0.022,-0.022,-0.052,-0.033,-0.072,0.001,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:00:20,001CB1U0000001ABA6515064,A,634.327,600.000,8.000,4.500,0.000,2.000,65.040,-0.043,-0.151,0.052,0.068,0.076,0.031,-0.123,-0.088,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:01:09,001CB1U0000001ABA6515050,B,617.021,600.000,8.000,4.500,0.000,2.000,46.560,-0.106,-0.118,-0.012,0.004,-0.060,-0.032,0.032,0.100,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:01:13,001CB1U0000001ABA6515076,A,634.968,600.000,8.000,4.500,0.000,2.000,67.140,-0.042,-0.123,0.079,0.111,0.080,0.061,-0.076,-0.092,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:01:22,001CB1U0000001ABA6512988,B,615.312,600.000,8.000,4.500,0.000,2.000,47.200,-0.065,-0.115,0.004,-0.021,-0.001,-0.043,-0.019,0.051,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:01:27,001CB1U0000001ABA6515080,A,635.181,600.000,8.000,4.500,0.000,2.000,67.110,-0.075,-0.134,0.034,0.041,0.041,0.022,-0.049,-0.078,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:01:33,001CB1U0000001AB86512046,B,613.389,600.000,8.000,4.500,0.000,2.000,46.240,-0.115,-0.129,-0.040,0.058,-0.056,0.020,-0.129,-0.008,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:01:40,001CB1U0000001ABA6515056,A,634.541,600.000,8.000,4.500,0.000,2.000,68.610,-0.039,-0.129,-0.005,-0.003,0.003,-0.035,0.030,0.024,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:02:17,001CB1U0000001AB86511874,B,617.448,600.000,8.000,4.500,0.000,2.000,46.400,-0.092,-0.073,0.038,0.046,0.018,0.029,-0.058,0.044,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:02:20,001CB1U0000001ABA6515060,A,599.075,600.000,8.000,4.500,0.000,2.000,68.070,-0.102,-0.198,0.134,0.056,0.116,0.059,-0.062,-0.102,0,OK
