时间,条码,扫码结果,位置
0:00:16,001CB1U0000001ABA6515060,OK,1
0:00:28,001CB1U0000001ABA6515086,OK,1
0:00:36,001CB1U0000001ABA6512988,OK,2
0:00:39,001CB1U0000001ABA6515088,OK,1
0:00:47,001CB1U0000001AB86512046,OK,2
0:00:50,001CB1U0000001AB86512062,OK,1
0:00:58,001CB1U0000001AB86511874,OK,2
0:01:34,001CB1U0000001AB86511870,OK,1
0:01:41,001CB1U0000001ABA6513000,OK,2
0:01:48,001CB1U0000001ABA6515090,OK,1
0:01:56,001CB1U0000001ABA6515094,OK,2
0:02:02,001CB1U0000001ABA6512892,OK,1
0:02:43,001CB1U0000001ABA6515096,OK,1
0:02:51,001CB1U0000001ABA6515098,OK,2
0:02:55,001CB1U0000001ABA6513022,OK,1
0:03:02,001CB1U0000001ABA6515100,OK,2
0:03:16,001CB1U0000001ABA6513020,OK,1
0:03:29,001CB1U0000001ABA6515102,OK,1
0:03:37,001CB1U0000001ABA6513032,OK,2
0:03:41,001CB1U0000001ABA6513036,OK,1
0:03:53,001CB1U0000001ABA6513046,OK,1
0:04:04,001CB1U0000001ABA6513038,OK,1
0:05:00,001CB1U0000001ABA6513028,OK,2
0:05:12,001CB1U0000001ABA6513042,OK,1
0:05:25,001CB1U0000001ABA6515108,OK,1
0:05:37,001CB1U0000001ABA6515110,OK,1
0:05:45,001CB1U0000001ABA6513058,OK,2
0:05:49,001CB1U0000001ABA6515114,OK,1
0:06:01,001CB1U0000001ABA6515116,OK,1
0:06:08,001CB1U0000001ABA6515122,OK,2
0:06:12,001CB1U0000001ABA6515120,OK,1
0:06:25,001CB1U0000001ABA6515124,OK,1
0:06:32,001CB1U0000001ABA6513056,OK,2
0:06:36,001CB1U0000001ABA6515126,OK,1
0:06:44,001CB1U0000001ABB6500000,OK,2
0:06:47,001CB1U0000001ABA6513062,OK,1
0:06:55,001CB1U0000001ABB6500002,OK,2
0:06:59,001CB1U0000001ABA6513060,OK,1
0:07:07,001CB1U0000001ABB6500006,OK,2
0:07:11,001CB1U0000001ABB6500004,OK,1
0:07:25,001CB1U0000001ABA6513066,OK,1
0:07:37,001CB1U0000001ABA6513064,OK,1
